Départ;Arrivée;Nb de circulations;Nb trains en retard à l'arrivée;
PARIS MONTPARNASSE;ANGOULEME;318;28;
ANGOULEME;PARIS MONTPARNASSE;348;53;
PARIS MONTPARNASSE;BORDEAUX ST JEAN;604;46;
BORDEAUX ST JEAN;PARIS MONTPARNASSE;626;50;
PARIS MONTPARNASSE;BREST;183;3;
BREST;PARIS MONTPARNASSE;177;5;
PARIS MONTPARNASSE;LA ROCHELLE VILLE;210;13;
LA ROCHELLE VILLE;PARIS MONTPARNASSE;213;23;
PARIS MONTPARNASSE;LE MANS;438;29;
LE MANS;PARIS MONTPARNASSE;474;55;
PARIS MONTPARNASSE;NANTES;553;25;
NANTES;PARIS MONTPARNASSE;568;20;
PARIS MONTPARNASSE;POITIERS;448;28;
POITIERS;PARIS MONTPARNASSE;498;58;
PARIS MONTPARNASSE;QUIMPER;157;7;
QUIMPER;PARIS MONTPARNASSE;146;9;
PARIS MONTPARNASSE;RENNES;546;17;
RENNES;PARIS MONTPARNASSE;563;32;
PARIS MONTPARNASSE;TOULOUSE MATABIAU;141;13;
TOULOUSE MATABIAU;PARIS MONTPARNASSE;113;5;
PARIS MONTPARNASSE;TOURS;199;26;
TOURS;PARIS MONTPARNASSE;203;22;
PARIS MONTPARNASSE;ST PIERRE DES CORPS;452;40;
ST PIERRE DES CORPS;PARIS MONTPARNASSE;458;60;
PARIS MONTPARNASSE;ANGERS SAINT LAUD;428;20;
ANGERS SAINT LAUD;PARIS MONTPARNASSE;467;28;
PARIS MONTPARNASSE;VANNES;178;9;
VANNES;PARIS MONTPARNASSE;171;11;
PARIS MONTPARNASSE;LAVAL;236;9;
LAVAL;PARIS MONTPARNASSE;235;17;
PARIS MONTPARNASSE;ST MALO;54;0;
ST MALO;PARIS MONTPARNASSE;98;3;
LYON PART DIEU;RENNES;29;2;
RENNES;LYON PART DIEU;79;4;
METZ;PARIS EST;292;16;
PARIS EST;METZ;306;7;
PARIS EST;NANCY;286;8;
NANCY;PARIS EST;289;13;
PARIS EST;REIMS;241;9;
REIMS;PARIS EST;229;11;
PARIS EST;STRASBOURG;464;33;
STRASBOURG;PARIS EST;462;52;
NANTES;STRASBOURG;60;1;
STRASBOURG;NANTES;60;4;
PARIS NORD;ARRAS;355;34;
ARRAS;PARIS NORD;334;72;
PARIS NORD;DUNKERQUE;152;8;
DUNKERQUE;PARIS NORD;110;4;
PARIS NORD;LILLE;606;68;
LILLE;PARIS NORD;591;40;
LILLE;LYON PART DIEU;300;30;
LYON PART DIEU;LILLE;271;63;
LILLE;MARSEILLE ST CHARLES;153;27;
MARSEILLE ST CHARLES;LILLE;129;33;
PARIS NORD;DOUAI;200;18;
DOUAI;PARIS NORD;201;52;
PARIS-LYON;AVIGNON TGV;370;32;
AVIGNON TGV;PARIS-LYON;366;65;
PARIS-LYON;BESANCON-FRANCHE-COMTE-TGV;229;23;
BESANCON-FRANCHE-COMTE-TGV;PARIS-LYON;207;24;
PARIS-LYON;CHAMBERY CHALLES LES EAUX;229;28;
CHAMBERY CHALLES LES EAUX;PARIS-LYON;222;16;
PARIS-LYON;DIJON VILLE;442;33;
DIJON VILLE;PARIS-LYON;440;56;
PARIS-LYON;GRENOBLE;234;19;
GRENOBLE;PARIS-LYON;234;17;
PARIS-LYON;LYON PART DIEU;612;25;
LYON PART DIEU;PARIS-LYON;607;22;
PARIS-LYON;MARSEILLE ST CHARLES;503;45;
MARSEILLE ST CHARLES;PARIS-LYON;498;44;
PARIS-LYON;MONTPELLIER;363;29;
MONTPELLIER;PARIS-LYON;383;24;
PARIS-LYON;NICE VILLE;197;37;
NICE VILLE;PARIS-LYON;194;41;
PARIS-LYON;NIMES;364;46;
NIMES;PARIS-LYON;381;38;
PARIS-LYON;PERPIGNAN;156;10;
PERPIGNAN;PARIS-LYON;151;12;
PARIS-LYON;TOULON;211;37;
TOULON;PARIS-LYON;259;51;
PARIS-LYON;VALENCE-ALIXAN TGV;256;31;
VALENCE-ALIXAN TGV;PARIS-LYON;236;29;
PARIS-LYON;SAINT ETIENNE CHATEAUCREUX;114;11;
SAINT ETIENNE CHATEAUCREUX;PARIS-LYON;113;10;
PARIS-LYON;BELLEGARDE (AIN );268;18;
BELLEGARDE (AIN );PARIS-LYON;268;13;
PARIS-LYON;AIX EN PROVENCE TGV;420;53;
AIX EN PROVENCE TGV;PARIS-LYON;437;71;
PARIS-LYON;ANNECY;199;9;
ANNECY;PARIS-LYON;195;15;
PARIS-LYON;LE CREUSOT-MONTCEAU-MONTCHANIN;199;26;
LE CREUSOT-MONTCEAU-MONTCHANIN;PARIS-LYON;211;29;
PARIS-LYON;MACON LOCHE;182;13;
MACON LOCHE;PARIS-LYON;174;11;
LYON PART DIEU;MARSEILLE ST CHARLES;600;130;
MARSEILLE ST CHARLES;LYON PART DIEU;576;106;
LYON PART DIEU;MONTPELLIER;363;74;
MONTPELLIER;LYON PART DIEU;358;63;
PARIS-LYON;MULHOUSE VILLE;300;32;
MULHOUSE VILLE;PARIS-LYON;297;35;
PARIS-LYON;GENEVE;247;;
GENEVE;PARIS-LYON;249;6;
PARIS-LYON;ZURICH;171;;
ZURICH;PARIS-LYON;170;12;
PARIS-LYON;LAUSANNE;123;;
LAUSANNE;PARIS-LYON;124;10;
PARIS NORD;BELGIQUE-PAYS-BAS;737;;
BELGIQUE-PAYS-BAS;PARIS NORD;643;95;
PARIS EST;FRANCFORT;136;;
FRANCFORT;PARIS EST;136;30;
PARIS EST;STUTTGART;115;;
STUTTGART;PARIS EST;112;11;
PARIS-LYON;ITALIE;83;;
ITALIE;PARIS-LYON;81;3;
